NumberOfTrips,PRCP,SNWD,SNOW,Temp,Holiday,Weekday
4,0,0,0,63,0,1
4,0,0,0,50,0,1
4,0.35,0,0,52,0,0
4,0,0,0,75,0,1
4,0,0,0,63,0,1
4,0.04,0,0,49.5,0,1
5,0.05,0,0,58,0,0
5,0.01,0,0,75.5,0,1
5,0,0,0,66,0,1
5,0.61,9.1,3,22.5,0,0
5,0,5.9,0,35.5,0,1
5,0,0,0,76.5,0,1
5,0,0,0,63,0,0
5,0,15,0,33,0,1
5,0,0,0,33,0,0
5,0,0,0,76,0,1
5,0.15,0,0,72.5,0,1
5,0,0,0,73,0,1
5,0,0,0,35.5,0,0
5,0,0,0,65.5,0,1
5,0.04,0,0,49.5,0,1
5,0,0,0,52.5,0,1
5,0,0,0,66.5,0,1
5,0.07,0,0,71,0,0
5,0,9.8,0,25,0,1
5,0,0,0,49,0,0
5,0,0,0,43,0,1
5,0,0,0,65.5,0,0
5,0,5.9,0,16.5,0,1
5,0.72,3.1,3.6,36,0,0
5,0,0,0,81.5,0,1
5,0.3,0,0,48.5,0,0
5,0.12,0,0,76,0,1
5,0,0,0,42,0,0
5,0,0,0,15.5,0,1
5,0,0,0,30.5,0,1
5,0,0,0,39,0,0
5,0.04,0,0,36,0,0
5,0,0,0,63.5,0,1
5,0,0,0,77.5,0,1
5,0,7.9,0,28.5,0,1
5,0,11,0,26.5,0,1
5,0,0,0,32.5,0,1
5,0,0,0,81.5,0,1
5,0,0,0,61.5,0,1
5,0.02,7.9,0,32.5,0,0
5,0,0,0,28.5,1,1
5,0.76,13,7.5,29.5,0,1
5,0.01,0,0,67.5,1,1
5,0.25,13,0,40,0,1
5,0.32,0,0,79,0,1
5,0.96,0,0,81.5,0,1
5,0,0,0,68,0,1
5,0.38,0,0,48,0,1
5,0,0,0,36,0,0
5,0,0,0,34.5,0,0
5,0,0,0,31.5,0,0
5,0,0,0,75,0,1
5,1.02,7.1,5,24,0,1
5,0,0,0,47.5,0,1
5,0,0,0,35.5,0,1
5,0,0,0,51,0,1
5,1.18,0,0,60.5,0,0
5,0,0,0,38,0,1
5,0,0,0,34.5,0,1
5,4.97,0,0,46.5,0,1
5,0.29,0,0,74,0,0
5,0.02,0,0,65.5,0,1
5,0.42,0,0,77.5,0,1
5,0.29,0,0,81.5,0,1
5,0.01,0,0,61.5,1,1
5,0,0,0,57.5,0,1
6,0.05,0,0,65,0,0
6,0.01,0,0,81.5,0,1
6,0.14,3.9,0,33.5,0,0
6,0.04,0,0,61.5,0,1
6,0.62,0,0,81.5,0,0
6,0,0,0,76.5,0,1
6,0,3.9,0,41.5,0,1
6,0,0,0,63.5,0,0
